dates,actual_value,expected_value,number_of_forecaster
1999-05-31,0.3,0.4,3.0
2000-06-30,0.0,-0.2,11.0
2000-07-31,0.6,0.4,6.0
2000-08-31,0.4,0.3,11.0
2000-09-29,0.3,0.2,0.0
2000-10-31,0.4,0.3,12.0
2000-11-30,0.0,0.2,13.0
2000-12-22,0.5,0.2,16.0
2001-01-31,0.1,0.1,14.0
2001-02-28,0.2,0.2,15.0
2001-03-30,0.3,0.1,11.0
2001-04-30,-0.1,-0.1,13.0
2001-05-31,0.1,0.2,10.0
2001-06-29,0.0,0.2,12.0
2001-07-31,0.3,0.2,12.0
2001-08-31,-0.2,0.0,11.0
2001-09-28,-0.1,-0.1,12.0
2001-10-31,0.1,-0.1,14.0
2001-11-30,-0.8,-0.3,14.0
2001-12-24,0.3,0.1,12.0
2002-01-31,0.2,0.3,14.0
2002-02-28,0.2,0.2,14.0
2002-03-28,0.6,0.5,18.0
2002-04-30,0.5,0.3,15.0
2002-05-31,0.1,0.3,15.0
2002-06-28,0.8,0.5,13.0
2002-07-31,0.0,0.2,14.0
2002-08-30,0.1,0.2,15.0
2002-09-30,0.4,0.3,11.0
2002-10-31,0.1,0.2,14.0
2002-11-29,0.1,0.2,12.0
2002-12-24,0.3,0.2,13.0
2003-01-31,0.1,0.0,17.0
2003-02-28,0.1,0.2,14.0
2003-03-31,0.4,0.3,17.0
2003-04-30,0.2,0.2,16.0
2003-05-30,0.0,0.1,15.0
2003-06-27,-0.2,-0.3,18.0
2003-07-30,0.1,0.0,17.0
2003-08-29,0.1,0.1,18.0
2003-09-30,0.6,0.4,20.0
2003-10-31,-0.7,-0.4,19.0
2003-11-28,1.1,1.0,22.0
2003-12-23,0.2,0.2,17.0
2004-01-30,0.0,0.2,19.0
2004-02-27,0.5,0.3,20.0
2004-03-31,-0.1,0.2,20.0
2004-04-30,0.0,0.4,20.0
2004-05-31,0.7,0.7,25.0
2004-06-30,0.1,0.4,22.0
2004-07-29,0.3,0.4,23.0
2004-08-31,0.3,0.5,21.0
2004-09-30,0.1,0.3,23.0
2004-10-29,0.5,0.3,23.0
2004-11-30,0.0,0.1,21.0
2004-12-23,0.0,0.1,25.0
2005-01-31,0.2,0.2,22.0
2005-02-28,0.2,0.1,22.0
2005-03-31,0.2,0.5,21.0
2005-04-29,0.3,0.3,23.0
2005-05-31,-0.1,0.1,22.0
2005-06-30,0.4,0.3,18.0
2005-07-29,0.3,0.1,20.0
2005-08-31,0.2,0.4,23.0
2005-09-30,0.2,0.3,23.0
2005-10-31,0.5,0.4,20.0
2005-11-30,0.0,0.1,22.0
2005-12-23,0.2,0.2,21.0
2006-01-31,0.2,0.2,19.0
2006-02-28,0.4,0.3,21.0
2006-03-31,0.2,0.3,22.0
2006-04-28,0.2,0.2,20.0
2006-05-31,0.1,0.4,19.0
2006-06-29,0.1,0.2,16.0
2006-07-31,0.0,0.3,18.0
2006-08-31,0.0,0.2,22.0
2006-09-29,0.2,0.2,19.0
2006-10-31,0.3,0.3,21.0
2006-11-30,-0.3,0.0,24.0
2006-12-21,0.0,0.1,21.0
2007-01-31,0.2,0.3,25.0
2007-03-02,0.4,0.5,27.0
2007-03-30,0.1,0.2,26.0
2007-04-30,0.4,0.2,22.0
2007-05-31,0.3,0.5,20.0
2007-06-29,0.0,0.2,23.0
2007-07-31,0.3,0.4,25.0
2007-08-31,0.2,0.0,23.0
2007-09-28,0.2,0.3,24.0
2007-10-31,0.2,0.1,24.0
2007-11-30,0.1,0.1,23.0
2007-12-21,0.2,0.1,21.0
2008-01-31,0.1,0.1,23.0
2008-03-03,-0.7,-0.2,18.0
2008-03-31,0.6,0.5,23.0
2008-04-30,-0.2,0.2,24.0
2008-05-30,-0.2,0.0,20.0
2008-06-30,0.4,0.3,22.0
2008-07-31,-0.1,0.2,24.0
2008-08-29,0.1,0.1,22.0
2008-09-30,0.7,0.2,15.0
2008-10-31,-0.3,-0.4,18.0
2008-12-01,0.1,0.2,20.0
2008-12-24,-0.1,-0.3,19.0
2009-01-30,-0.7,-0.4,21.0
2009-03-02,-1.0,-0.7,19.0
2009-03-31,-0.7,-0.7,21.0
2009-04-30,-0.1,-0.1,24.0
2009-06-01,-0.3,-0.3,23.0
2009-06-30,-0.1,-0.1,21.0
2009-07-31,-0.5,-0.3,21.0
2009-08-31,0.1,0.2,19.0
2009-09-30,0.0,0.5,21.0
2009-10-30,-0.1,0.1,23.0
2009-11-30,0.4,0.4,19.0
2009-12-23,0.2,0.3,20.0
2010-01-29,0.4,0.3,22.0
2010-03-01,0.6,0.4,22.0
2010-03-31,0.6,0.5,20.0
2010-04-30,0.3,0.3,21.0
2010-05-31,0.6,0.5,18.0
2010-06-30,0.0,0.2,16.0
2010-07-30,0.1,0.2,22.0
2010-08-31,0.2,0.2,17.0
2010-09-30,-0.1,-0.1,22.0
2010-10-29,0.3,0.3,24.0
2010-11-30,-0.1,0.1,26.0
2010-12-23,0.2,0.3,21.0
2011-01-31,0.4,0.3,23.0
2011-02-28,0.5,0.3,21.0
2011-03-31,0.5,0.5,22.0
2011-04-29,-0.2,0.0,22.0
2011-05-30,0.3,0.2,24.0
2011-06-30,0.0,-0.1,22.0
2011-07-29,-0.3,0.1,24.0
2011-08-31,0.2,0.1,23.0
2011-09-30,0.3,0.3,23.0
2011-10-31,0.3,0.2,24.0
2011-11-30,0.2,0.3,22.0
2011-12-23,0.0,0.1,23.0
2012-01-31,-0.1,0.2,23.0
2012-03-02,0.4,0.3,24.0
2012-03-30,0.1,0.1,21.0
