dates,actual_value,expected_value,number_of_forecaster
2000-08-09,165.5,150.0,16.0
2000-09-11,146.0,159.5,9.0
2000-10-10,156.0,150.0,8.0
2000-11-08,164.8,153.5,12.0
2000-12-08,155.8,160.0,13.0
2001-02-08,174.1,151.0,11.0
2001-03-08,156.1,159.5,12.0
2001-04-09,153.8,156.0,9.0
2001-05-08,162.3,156.0,14.0
2001-06-08,155.0,158.0,10.0
2001-07-10,176.2,157.0,12.0
2001-08-09,152.0,165.0,13.0
2001-09-11,169.2,156.5,10.0
2001-10-09,157.0,160.0,12.0
2001-11-08,174.0,153.0,14.0
2001-12-10,168.9,160.0,11.0
2002-01-09,175.5,168.5,10.0
2002-02-08,204.0,170.0,14.0
2002-03-08,180.0,180.0,13.0
2002-04-09,199.8,180.0,19.0
2002-05-08,184.5,188.0,14.0
2002-06-10,203.2,185.0,10.0
2002-07-08,202.1,195.0,11.0
2002-08-09,200.3,190.0,14.0
2002-09-10,213.0,198.0,17.0
2002-10-08,201.0,205.0,16.0
2002-11-08,220.4,200.0,15.0
2002-12-09,213.5,208.0,11.0
2003-01-09,198.5,210.0,12.0
2003-02-10,183.2,199.0,16.0
2003-03-10,246.4,190.0,17.0
2003-04-08,210.5,208.5,16.0
2003-05-08,207.8,206.5,18.0
2003-06-09,197.9,200.0,19.0
2003-07-09,210.4,200.0,18.0
2003-08-11,223.5,208.5,14.0
2003-09-09,233.9,211.25,16.0
2003-10-08,234.6,225.0,21.0
2003-11-10,237.2,230.0,18.0
2003-12-08,213.0,230.0,15.0
2004-01-09,217.6,220.0,13.0
2004-02-09,195.5,215.0,19.0
2004-03-08,214.1,213.5,20.0
2004-04-08,247.0,217.0,21.0
2004-05-10,241.6,230.0,20.0
2004-06-08,238.8,230.0,21.0
2004-07-09,239.3,235.0,21.0
2004-08-10,218.7,232.0,20.0
2004-09-09,241.5,225.0,21.0
2004-10-08,231.0,230.0,18.0
2004-11-08,225.0,227.0,23.0
2004-12-08,238.2,220.0,20.0
2005-01-11,234.4,230.0,24.0
2005-02-08,203.7,229.0,20.0
2005-03-08,214.9,225.0,20.0
2005-04-08,218.5,220.0,20.0
2005-05-09,230.4,225.0,20.0
2005-06-08,218.8,225.85,22.0
2005-07-11,237.2,222.5,20.0
2005-08-09,242.3,226.0,19.0
2005-09-09,201.0,230.0,21.0
2005-10-11,230.5,220.0,20.0
2005-11-08,206.7,225.0,21.0
2005-12-08,222.1,215.0,20.0
2006-01-10,227.7,220.0,15.0
2006-02-08,247.9,225.0,18.0
2006-03-08,240.9,229.0,20.0
2006-04-10,252.3,230.0,17.0
2006-05-08,218.1,230.0,17.0
2006-06-08,216.8,221.0,18.0
2006-07-11,232.2,220.0,16.0
2006-08-09,236.5,225.0,20.0
2006-09-11,213.7,229.0,18.0
2006-10-10,211.3,222.0,19.0
2006-11-08,223.2,217.0,23.0
2006-12-08,225.0,220.0,20.0
2007-01-09,211.5,226.0,20.0
2007-02-08,249.3,218.0,25.0
2007-03-08,196.2,220.0,23.0
2007-04-11,210.9,215.0,23.0
2007-05-08,211.9,215.0,21.0
2007-06-08,229.7,215.0,23.0
2007-07-10,225.5,219.0,23.0
2007-08-09,215.6,223.5,22.0
2007-09-11,226.5,220.0,23.0
2007-10-09,278.2,220.0,21.0
2007-11-08,219.5,228.0,23.0
2007-12-10,227.9,222.0,21.0
2008-01-09,187.5,222.0,23.0
2008-02-08,222.7,210.0,21.0
2008-03-10,256.9,205.0,20.0
2008-04-08,254.7,222.5,20.0
2008-05-08,213.9,225.0,24.0
2008-06-09,221.3,220.0,23.0
2008-07-09,217.8,216.0,20.0
2008-08-11,186.5,210.0,18.0
2008-09-09,211.0,191.0,18.0
2008-10-08,217.6,205.0,18.0
2008-11-10,211.8,200.0,18.0
2008-12-08,172.0,192.0,18.0
2009-01-09,177.3,170.0,19.0
2009-02-09,153.5,165.0,20.0
2009-03-09,134.6,145.0,19.0
2009-04-08,154.7,130.0,21.0
2009-05-08,117.4,140.0,21.0
2009-06-08,128.4,126.0,20.0
2009-07-09,140.7,130.0,17.0
2009-08-11,132.1,145.0,18.0
2009-09-09,150.4,139.5,20.0
2009-10-08,150.1,148.0,23.0
2009-11-09,157.3,158.5,21.0
2009-12-08,158.5,160.0,22.0
2010-01-11,174.5,160.25,18.0
2010-02-08,186.3,180.0,19.0
2010-03-08,196.7,190.0,19.0
2010-04-12,197.3,205.0,19.0
2010-05-10,201.7,205.0,18.0
2010-06-08,189.1,202.0,20.0
2010-07-09,189.3,190.25,22.0
2010-08-10,189.2,185.0,15.0
2010-09-09,183.3,185.0,16.0
2010-10-08,186.4,179.0,16.0
2010-11-08,167.9,183.0,22.0
2010-12-08,187.2,173.0,21.0
2011-01-11,171.5,180.0,21.0
2011-02-08,170.4,173.5,19.0
2011-03-08,181.9,174.0,21.0
2011-04-08,188.8,181.0,21.0
2011-05-09,179.0,184.0,19.0
2011-06-08,183.6,182.0,21.0
2011-07-11,197.4,185.0,18.0
2011-08-09,205.1,194.5,16.0
2011-09-09,184.7,200.0,18.0
2011-10-11,205.9,190.0,19.0
2011-11-08,207.6,195.0,19.0
2011-12-08,181.1,200.0,21.0
2012-01-10,200.2,185.5,20.0
2012-02-08,197.9,194.0,19.0
2012-03-08,201.1,200.0,21.0
2012-04-11,215.6,200.0,19.0
2012-05-08,244.9,204.0,21.0
2012-06-08,211.4,215.0,21.0
2012-07-10,222.7,205.0,21.0
2012-08-09,208.5,211.5,20.0
2012-09-11,224.9,200.0,23.0
2012-10-09,220.215,205.0,22.0
2012-11-08,204.107,210.0,21.0
2012-12-10,196.1,200.0,21.0
2013-01-09,198.0,195.0,22.0
2013-02-08,160.6,195.0,21.0
2013-03-08,180.719,175.0,20.0
2013-04-09,184.028,175.0,19.0
2013-05-08,174.9,175.0,25.0
2013-06-10,200.2,179.05,18.0
2013-07-09,199.6,187.5,22.0
2013-08-09,192.853,190.0,22.0
2013-09-10,180.3,190.0,21.0
2013-10-08,193.637,185.0,21.0
2013-11-08,198.282,190.75,20.0
2013-12-09,192.2,195.0,13.0
2014-01-09,189.672,190.0,11.0
2014-02-10,180.2,185.0,19.0
2014-03-10,192.1,190.0,17.0
2014-04-08,156.8,192.0,17.0
2014-05-08,194.8,175.0,19.0
2014-06-09,198.3,185.0,17.0
2014-07-09,198.185,190.0,17.0
