dates,actual_value,expected_value,number_of_forecaster
1997-03-17,2.2,0.6,0.0
1997-04-16,0.6,0.9,0.0
1997-05-16,0.4,0.8,0.0
1997-06-27,0.5,0.7,0.0
1997-07-16,-0.2,1.0,0.0
1997-08-18,-0.1,0.9,0.0
1997-09-29,3.8,0.7,0.0
1997-10-16,-2.3,0.3,0.0
1997-11-18,-0.3,2.0,0.0
1997-12-16,1.5,1.3,0.0
1998-01-20,0.3,1.5,0.0
1998-02-16,2.0,0.8,0.0
1998-03-16,-3.8,-1.1,0.0
1998-04-20,2.9,2.4,0.0
1998-05-19,0.9,1.4,0.0
1998-06-16,-0.6,1.3,0.0
1998-07-15,-1.0,0.6,0.0
1998-08-21,-2.9,-1.4,8.0
1998-09-16,-2.4,0.55,6.0
1998-10-19,7.6,2.0,6.0
1998-11-17,0.1,0.5,9.0
1998-12-16,2.1,0.15,8.0
1999-01-19,1.0,1.0,4.0
1999-02-16,1.4,0.7,8.0
1999-03-16,-0.7,0.7,9.0
1999-04-19,-0.4,1.0,6.0
1999-05-18,2.0,1.4,3.0
1999-06-16,-0.8,0.6,6.0
1999-07-19,1.0,0.8,5.0
1999-08-17,0.4,0.7,5.0
1999-09-16,-0.1,0.8,7.0
1999-10-26,3.5,1.2,5.0
1999-11-16,0.8,0.5,8.0
1999-12-15,-0.7,1.0,7.0
2000-01-19,1.8,1.5,11.0
2000-02-15,1.3,1.2,11.0
2000-03-16,1.1,1.0,6.0
2000-04-18,-1.8,0.5,12.0
2000-05-16,3.8,1.3,7.0
2000-06-15,-2.8,0.5,8.0
2000-07-20,3.4,1.3,9.0
2000-08-16,0.7,0.3,13.0
2000-09-19,-1.3,0.3,11.0
2000-10-18,2.0,1.5,13.0
2000-11-17,-1.0,0.8,13.0
2000-12-18,1.7,0.65,8.0
2001-01-22,0.3,0.5,6.0
2001-02-19,-0.8,-0.2,7.0
2001-03-23,0.3,-0.9,14.0
2001-04-19,-3.6,-0.9,12.0
2001-05-16,1.7,0.0,11.0
2001-06-18,-0.6,0.4,10.0
2001-07-18,2.1,0.1,10.0
2001-08-16,-1.9,-0.5,10.0
2001-09-19,-0.2,-0.5,8.0
2001-10-18,0.7,-0.5,14.0
2001-11-19,-2.5,-2.9,9.0
2001-12-18,-2.9,0.15,14.0
2002-01-22,1.7,-0.5,9.0
2002-02-19,-1.8,0.5,14.0
2002-03-18,3.1,0.55,16.0
2002-04-17,0.8,2.0,15.0
2002-05-16,-0.7,0.6,17.0
2002-06-18,5.0,1.0,14.0
2002-07-17,-1.4,0.1,16.0
2002-08-19,-0.1,0.3,11.0
2002-09-17,1.0,0.5,13.0
2002-10-17,0.6,0.2,16.0
2002-11-18,1.2,-0.3,12.0
2002-12-17,0.1,0.0,14.0
2003-01-22,-1.3,-0.5,15.0
2003-02-18,-0.9,0.5,18.0
2003-03-18,3.7,0.7,17.0
2003-04-16,-0.9,-0.5,18.0
2003-05-15,1.4,-0.5,16.0
2003-06-13,-3.4,-1.5,19.0
2003-07-16,-0.8,-0.75,18.0
2003-08-14,-0.5,0.2,15.0
2003-09-16,1.7,0.8,17.0
2003-10-15,-4.5,-2.0,19.0
2003-11-14,5.2,4.8,19.0
2003-12-16,-1.1,0.45,18.0
2004-01-21,-0.5,-0.4,17.0
2004-02-13,1.0,0.8,17.0
2004-03-16,-0.2,-0.7,19.0
2004-04-15,0.8,0.55,20.0
2004-05-14,3.4,0.5,17.0
2004-06-15,0.5,1.0,19.0
2004-07-15,1.1,1.0,22.0
2004-08-13,1.5,0.5,17.0
2004-09-15,0.5,0.6,23.0
2004-10-15,0.8,0.8,21.0
2004-11-15,-0.6,-0.5,20.0
2004-12-14,-1.3,0.3,20.0
2005-01-20,0.2,-0.6,21.0
2005-02-14,-0.2,0.45,20.0
2005-03-15,3.0,0.5,19.0
2005-04-15,-0.5,-0.5,19.0
2005-05-13,-2.4,0.5,19.0
2005-06-14,0.9,0.5,18.0
2005-07-14,-0.1,0.4,17.0
2005-08-15,0.5,0.5,19.0
2005-09-14,-1.4,0.5,20.0
2005-10-14,3.3,1.0,19.0
2005-11-15,-0.5,0.6,18.0
2005-12-14,0.9,0.6,19.0
2006-01-18,-1.5,0.2,17.0
2006-02-16,1.4,1.0,19.0
2006-03-15,-0.7,0.4,19.0
2006-04-13,-2.2,0.5,17.0
2006-05-15,1.6,1.0,15.0
2006-06-14,-1.5,-0.5,16.0
2006-07-14,0.3,0.7,17.0
2006-08-16,1.9,0.15,18.0
2006-09-14,0.8,-0.25,19.0
2006-10-16,-0.3,0.3,19.0
2006-11-15,-3.3,-1.1,18.0
2006-12-14,-0.1,-0.45,20.0
2007-01-18,2.3,1.1,20.0
2007-02-15,1.7,0.7,22.0
2007-03-15,-2.1,-0.45,20.0
2007-04-17,-0.2,-0.15,22.0
2007-05-15,2.8,1.0,23.0
2007-06-13,-0.6,0.3,23.0
2007-07-16,-0.1,0.2,23.0
2007-08-15,-1.8,-0.2,19.0
2007-09-14,2.3,1.0,21.0
2007-10-16,-1.7,-1.0,20.0
2007-11-15,-0.9,-0.7,20.0
2007-12-13,0.1,-0.9,18.0
2008-01-18,1.1,0.5,22.0
2008-02-15,-3.4,-0.2,19.0
2008-03-17,1.3,1.0,21.0
2008-04-16,1.6,0.8,22.0
2008-05-15,-1.6,-0.35,24.0
2008-06-13,2.0,0.5,22.0
2008-07-16,2.7,0.5,20.0
2008-08-15,2.1,1.0,21.0
2008-09-16,2.7,1.0,19.0
2008-10-16,-3.7,-0.8,17.0
2008-11-14,0.1,-1.5,18.0
2008-12-16,-0.5,-0.35,18.0
2009-01-20,-6.4,-3.0,15.0
2009-02-16,-8.0,-5.25,16.0
2009-03-17,-5.4,-5.5,17.0
2009-04-16,2.2,2.0,18.0
2009-05-15,-2.7,1.0,20.0
2009-06-15,-0.1,-1.7,19.0
2009-07-15,-6.0,-2.5,18.0
2009-08-14,1.9,-0.15,16.0
2009-09-16,5.5,2.5,18.0
2009-10-15,-2.1,-1.55,18.0
2009-11-16,1.4,1.7,19.0
2009-12-16,2.0,1.0,18.0
2010-01-20,0.1,0.7,19.0
2010-02-16,1.6,1.8,19.0
2010-03-16,2.4,0.55,18.0
2010-04-16,0.1,1.0,17.0
2010-05-14,1.2,1.0,18.0
2010-06-15,0.2,0.3,19.0
2010-07-15,0.4,0.5,18.0
2010-08-17,0.1,-0.5,16.0
2010-09-15,-0.9,0.2,15.0
2010-10-15,2.0,0.5,13.0
2010-11-16,-0.6,-0.9,20.0
2010-12-15,1.7,0.95,20.0
2011-01-19,-0.8,0.3,20.0
2011-02-16,0.4,3.0,18.0
2011-03-16,4.5,1.0,22.0
2011-04-14,-1.5,-0.5,21.0
2011-05-16,1.9,1.8,23.0
2011-06-15,-1.3,-1.4,22.0
2011-07-15,-0.8,-0.2,19.0
2011-08-16,-1.5,-0.7,19.0
2011-09-15,2.7,1.4,21.0
2011-10-14,1.4,0.5,21.0
2011-11-15,2.6,1.3,21.0
2011-12-14,-0.8,-0.65,18.0
2012-01-19,2.0,1.2,19.0
2012-02-16,0.6,2.0,20.0
2012-03-16,-0.9,0.2,19.0
2012-04-17,-0.3,-0.3,21.0
2012-05-16,1.9,0.4,18.0
2012-06-15,-0.8,0.2,20.0
2012-07-17,-0.4,0.6,18.0
2012-08-16,-0.4,0.25,18.0
2012-09-14,-1.5,0.4,21.0
2012-10-16,1.5,0.45,22.0
2012-11-15,0.4,0.25,18.0
2012-12-14,-1.4,-0.05,20.0
2013-01-18,1.7,1.0,17.0
2013-02-15,-3.1,-0.8,17.0
2013-03-19,-0.2,0.6,20.0
2013-04-16,2.6,0.6,18.0
2013-05-15,-0.3,0.5,19.0
2013-06-14,-2.4,0.3,15.0
2013-07-16,0.7,0.65,16.0
2013-08-16,-0.5,0.25,16.0
2013-09-17,1.7,0.5,18.0
2013-10-16,-0.2,0.2,17.0
2013-11-15,0.6,0.5,15.0
2013-12-17,1.0,-0.3,15.0
