dates,actual_value,expected_value,number_of_forecaster
1997-03-07,9.7,9.6,0.0
1997-04-04,9.3,9.6,0.0
1997-05-09,9.6,9.3,0.0
1997-06-06,9.5,9.5,0.0
1997-07-11,9.1,9.4,0.0
1997-08-08,9.0,9.1,0.0
1997-09-05,9.0,9.0,0.0
1997-10-10,9.0,8.9,0.0
1997-11-07,9.1,9.0,0.0
1997-12-05,9.0,9.0,0.0
1998-01-09,8.6,8.9,0.0
1998-02-06,8.9,8.8,0.0
1998-03-13,8.6,8.7,0.0
1998-04-09,8.5,8.5,0.0
1998-05-08,8.4,8.4,0.0
1998-06-05,8.4,8.3,0.0
1998-07-10,8.4,8.4,20.0
1998-08-07,8.4,8.45,8.0
1998-09-04,8.3,8.4,11.0
1998-10-09,8.3,8.3,10.0
1998-11-06,8.1,8.3,8.0
1998-12-04,8.0,8.1,12.0
1999-01-08,8.0,8.0,5.0
1999-02-05,7.8,8.0,10.0
1999-03-12,7.8,7.85,6.0
1999-04-09,7.8,7.8,11.0
1999-05-07,8.3,7.8,7.0
1999-06-04,8.1,8.3,7.0
1999-07-09,7.6,8.0,8.0
1999-08-06,7.7,7.8,8.0
1999-09-10,7.8,7.7,4.0
1999-10-08,7.5,7.8,9.0
1999-11-05,7.2,7.5,8.0
1999-12-03,6.9,7.2,9.0
2000-01-07,6.9,6.9,8.0
2000-02-04,6.8,6.8,0.0
2000-03-10,6.8,6.8,10.0
2000-04-07,6.8,6.7,10.0
2000-05-05,6.8,6.7,9.0
2000-06-09,6.6,6.7,10.0
2000-07-07,6.6,6.6,10.0
2000-08-04,6.8,6.6,21.0
2000-09-08,7.1,6.7,14.0
2000-10-06,6.8,6.9,16.0
2000-11-03,6.9,6.8,14.0
2000-12-01,6.9,6.8,15.0
2001-01-05,6.8,6.9,11.0
2001-02-09,6.9,6.9,12.0
2001-03-09,6.9,6.9,15.0
2001-04-06,7.0,7.0,16.0
2001-05-11,7.0,7.0,16.0
2001-06-08,7.0,7.1,11.0
2001-07-06,7.0,7.1,14.0
2001-08-10,7.0,7.1,15.0
2001-09-07,7.2,7.1,14.0
2001-10-05,7.2,7.3,12.0
2001-11-02,7.3,7.3,14.0
2001-12-07,7.5,7.4,13.0
2002-01-11,8.0,7.6,11.0
2002-02-08,7.9,8.1,15.0
2002-03-08,7.9,8.0,14.0
2002-04-05,7.7,7.9,17.0
2002-05-10,7.6,7.7,15.0
2002-06-07,7.7,7.6,17.0
2002-07-05,7.5,7.6,14.0
2002-08-09,7.6,7.5,16.0
2002-09-06,7.5,7.6,17.0
2002-10-11,7.7,7.5,17.0
2002-11-08,7.6,7.65,16.0
2002-12-06,7.5,7.6,12.0
2003-01-10,7.5,7.5,13.0
2003-02-07,7.4,7.5,16.0
2003-03-07,7.4,7.4,16.0
2003-04-04,7.3,7.4,17.0
2003-05-09,7.5,7.3,17.0
2003-06-06,7.8,7.5,19.0
2003-07-11,7.7,7.8,17.0
2003-08-08,7.8,7.7,20.0
2003-09-05,8.0,7.8,18.0
2003-10-10,8.0,8.0,23.0
2003-11-07,7.6,8.0,19.0
2003-12-05,7.5,7.6,23.0
2004-01-09,7.4,7.5,16.0
2004-02-06,7.4,7.4,18.0
2004-03-12,7.4,7.4,23.0
2004-04-08,7.5,7.4,22.0
2004-05-07,7.3,7.5,21.0
2004-06-04,7.2,7.3,26.0
2004-07-09,7.3,7.2,23.0
2004-08-06,7.2,7.2,25.0
2004-09-10,7.2,7.2,23.0
2004-10-08,7.1,7.2,22.0
2004-11-05,7.1,7.1,24.0
2004-12-03,7.3,7.1,21.0
2005-01-07,7.0,7.3,20.0
2005-02-04,7.0,7.0,21.0
2005-03-11,7.0,7.0,20.0
2005-04-08,6.9,7.0,23.0
2005-05-06,6.8,6.9,24.0
2005-06-10,6.8,6.8,22.0
2005-07-08,6.7,6.8,20.0
2005-08-05,6.8,6.7,20.0
2005-09-09,6.8,6.8,21.0
2005-10-07,6.7,6.8,19.0
2005-11-04,6.6,6.7,20.0
2005-12-02,6.4,6.6,20.0
2006-01-06,6.5,6.4,15.0
2006-02-10,6.6,6.5,18.0
2006-03-10,6.4,6.6,20.0
2006-04-07,6.3,6.4,22.0
2006-05-05,6.4,6.3,22.0
2006-06-09,6.1,6.4,19.0
2006-07-07,6.1,6.2,18.0
2006-08-04,6.4,6.1,19.0
2006-09-08,6.5,6.3,21.0
2006-10-06,6.4,6.5,24.0
2006-11-03,6.2,6.4,21.0
2006-12-01,6.3,6.25,24.0
2007-01-05,6.1,6.3,19.0
2007-02-09,6.2,6.1,26.0
2007-03-09,6.1,6.2,24.0
2007-04-05,6.1,6.1,24.0
2007-05-11,6.1,6.1,25.0
2007-06-08,6.1,6.1,23.0
2007-07-06,6.1,6.1,27.0
2007-08-10,6.0,6.1,24.0
2007-09-07,6.0,6.0,25.0
2007-10-05,5.9,6.0,23.0
2007-11-02,5.8,5.9,24.0
2007-12-07,5.9,5.9,22.0
2008-01-11,5.9,5.9,26.0
2008-02-08,5.8,6.0,24.0
2008-03-07,5.8,5.9,20.0
2008-04-04,6.0,5.8,25.0
2008-05-09,6.1,6.0,24.0
2008-06-06,6.1,6.1,24.0
2008-07-11,6.2,6.1,21.0
2008-08-08,6.1,6.2,22.0
2008-09-05,6.1,6.2,24.0
2008-10-10,6.1,6.15,20.0
2008-11-07,6.2,6.2,20.0
2008-12-05,6.3,6.4,20.0
2009-01-09,6.6,6.5,21.0
2009-02-06,7.2,6.8,22.0
2009-03-13,7.7,7.4,19.0
2009-04-09,8.0,8.0,23.0
2009-05-08,8.0,8.3,23.0
2009-06-05,8.4,8.2,21.0
2009-07-10,8.6,8.7,17.0
2009-08-07,8.6,8.8,21.0
2009-09-04,8.7,8.75,20.0
2009-10-09,8.4,8.8,23.0
2009-11-06,8.6,8.5,21.0
2009-12-04,8.5,8.6,19.0
2010-01-08,8.5,8.5,22.0
2010-02-05,8.3,8.5,22.0
2010-03-12,8.2,8.3,21.0
2010-04-09,8.2,8.1,21.0
2010-05-07,8.1,8.15,22.0
2010-06-04,8.1,8.0,19.0
2010-07-09,7.9,8.1,23.0
2010-08-06,8.0,7.9,22.0
2010-09-10,8.1,8.0,16.0
2010-10-08,8.0,8.1,17.0
2010-11-05,7.9,8.0,25.0
2010-12-03,7.6,7.9,25.0
2011-01-07,7.6,7.7,23.0
2011-02-04,7.8,7.6,25.0
2011-03-11,7.8,7.7,25.0
2011-04-08,7.7,7.7,25.0
2011-05-06,7.6,7.7,24.0
2011-06-10,7.4,7.6,26.0
2011-07-08,7.4,7.4,26.0
2011-08-05,7.2,7.4,27.0
2011-09-09,7.3,7.2,22.0
2011-10-07,7.1,7.3,24.0
2011-11-04,7.3,7.1,26.0
2011-12-02,7.4,7.3,23.0
2012-01-06,7.5,7.4,23.0
