dates,actual_value,expected_value,number_of_forecaster
1997-04-30,5.6,4.2,2.0
1998-04-30,4.2,3.4,19.0
1998-07-31,1.4,0.4,51.0
1998-10-30,3.3,2.3,67.0
1999-01-29,5.6,4.4,37.0
1999-04-30,4.5,3.3,44.0
1999-07-29,2.3,3.4,50.0
1999-10-28,4.8,4.5,41.0
2000-01-28,5.8,5.2,42.0
2000-04-27,5.4,6.0,44.0
2000-07-28,5.2,3.8,44.0
2000-10-27,2.7,3.6,0.0
2001-01-31,1.4,2.0,51.0
2001-04-27,2.0,1.1,51.0
2001-07-27,0.7,1.0,55.0
2001-10-31,-0.4,-1.0,57.0
2002-01-30,0.2,-1.1,58.0
2002-04-26,5.8,5.0,70.0
2002-07-31,1.1,2.3,65.0
2002-10-31,3.1,3.7,67.0
2003-01-30,0.7,0.9,71.0
2003-04-25,1.6,2.4,68.0
2003-07-31,2.4,1.5,69.0
2003-10-30,7.2,6.0,74.0
2004-01-30,4.0,5.0,69.0
2004-04-29,4.2,5.0,75.0
2004-07-30,3.0,3.7,73.0
2004-10-29,3.7,4.3,80.0
2005-01-28,3.1,3.5,83.0
2005-04-28,3.1,3.5,82.0
2005-07-29,3.4,3.5,66.0
2005-10-28,3.8,3.6,67.0
2006-01-27,1.1,2.8,74.0
2006-04-28,4.8,4.9,76.0
2006-07-28,2.5,3.0,75.0
2006-10-27,1.6,2.0,80.0
2007-01-31,3.5,3.0,77.0
2007-04-27,1.3,1.8,83.0
2007-07-27,3.4,3.2,86.0
2007-10-31,3.9,3.1,82.0
2008-01-30,0.6,1.2,77.0
2008-04-30,0.6,0.5,80.0
2008-07-31,1.9,2.3,79.0
2008-10-30,-0.3,-0.5,75.0
2009-01-30,-3.8,-5.5,79.0
2009-04-29,-6.1,-4.7,71.0
2009-07-31,-1.0,-1.5,78.0
2009-10-29,3.5,3.2,79.0
2010-01-29,5.7,4.8,84.0
2010-04-30,3.2,3.3,85.0
2010-07-30,2.4,2.6,81.0
2010-10-29,2.0,2.0,83.0
2011-01-28,3.2,3.5,85.0
2011-04-28,1.8,2.0,80.0
2011-07-29,1.3,1.8,85.0
2011-10-27,2.5,2.5,83.0
2012-01-27,2.8,3.0,79.0
2012-04-27,2.2,2.5,85.0
2012-07-27,1.5,1.4,82.0
2012-10-26,2.0,1.8,86.0
2013-01-30,-0.1,1.1,83.0
2013-04-26,2.5,3.0,86.0
2013-07-31,1.7,1.0,85.0
2013-11-07,2.8,2.0,87.0
2014-01-30,3.2,3.2,87.0
2014-04-30,0.1,1.2,83.0
2014-07-30,4.0,3.0,80.0
2014-10-30,3.5,3.0,87.0
2015-01-30,2.6,3.0,85.0
2015-04-29,0.2,1.0,86.0
2015-07-30,2.3,2.5,80.0
2015-10-29,1.5,1.6,80.0
2016-01-29,0.7,0.8,87.0
2016-04-28,0.5,0.7,83.0
2016-07-29,1.2,2.5,77.0
2016-10-28,2.9,2.6,85.0
2017-01-27,1.9,2.2,85.0
2017-04-28,0.7,1.0,82.0
2017-07-28,2.6,2.7,77.0
2017-10-27,3.0,2.6,79.0
2018-01-26,2.6,3.0,78.0
2018-04-27,2.3,2.0,76.0
2018-07-27,4.1,4.2,73.0
2018-10-26,3.5,3.3,71.0
2019-01-29,2.6,2.2,78.0
2019-04-26,3.2,2.3,72.0
2019-07-26,2.1,1.8,73.0
2019-10-30,1.9,1.6,78.0
2020-01-30,2.1,2.0,79.0
2020-04-29,-4.8,-4.0,75.0
2020-07-30,-32.9,-34.5,73.0
2020-10-29,33.1,32.0,75.0
2021-01-28,4.0,4.2,70.0
2021-04-29,6.4,6.7,72.0
2021-07-29,6.5,8.4,69.0
2021-10-28,2.0,2.6,70.0
2022-01-27,6.9,5.5,69.0
2022-04-28,-1.4,1.0,69.0
2022-07-28,-0.9,0.4,74.0
