dates,actual_value,expected_value,number_of_forecaster
2005-06-01,3.6,1.0,3.0
2005-07-06,-2.0,0.5,5.0
2005-08-01,0.6,0.8,5.0
2005-09-01,-1.0,0.0,5.0
2005-10-05,3.2,-0.5,7.0
2005-11-03,-0.3,-1.8,5.0
2005-12-06,-3.2,-1.2,4.0
2006-01-05,-2.5,-1.0,7.0
2006-02-01,-3.0,-0.5,7.0
2006-03-06,-1.1,0.25,8.0
2006-04-03,-0.8,-0.5,14.0
2006-05-02,-1.2,-0.5,13.0
2006-06-01,-3.7,-1.0,17.0
2006-07-06,1.3,0.0,13.0
2006-08-01,0.4,-0.5,17.0
2006-09-01,-7.0,-1.5,14.0
2006-10-02,4.3,0.0,18.0
2006-11-01,-1.1,-0.85,18.0
2006-12-04,-1.7,-0.5,19.0
2007-01-04,-0.5,0.7,17.0
2007-02-01,4.9,0.85,16.0
2007-03-06,-4.1,-1.2,21.0
2007-04-03,0.7,-0.5,17.0
2007-05-01,-4.9,0.1,22.0
2007-06-01,-3.2,0.3,19.0
2007-07-03,-3.5,0.5,28.0
2007-08-01,5.0,-0.5,27.0
2007-09-05,-12.2,-2.15,26.0
2007-10-02,-6.5,-2.05,30.0
2007-11-13,0.2,-2.0,29.0
2007-12-10,0.6,-1.0,27.0
2008-01-08,-2.6,-0.7,33.0
2008-02-07,-1.5,-1.0,33.0
2008-03-06,0.0,-1.0,27.0
2008-04-08,-1.9,-1.0,29.0
2008-05-07,-1.0,-1.0,30.0
2008-06-09,6.3,-0.4,32.0
2008-07-08,-4.7,-2.95,39.0
2008-08-07,5.3,-1.0,37.0
2008-09-09,-3.2,-1.5,39.0
2008-10-08,7.4,-1.25,38.0
2008-11-07,-4.6,-3.35,30.0
2008-12-09,-0.7,-3.0,35.0
2009-01-06,-4.0,-1.0,34.0
2009-02-03,6.3,0.0,28.0
2009-03-03,-7.7,-3.5,32.0
2009-04-01,2.1,0.0,37.0
2009-05-04,3.2,0.0,32.0
2009-06-02,6.7,0.5,32.0
2009-07-01,0.1,0.0,36.0
2009-08-04,3.6,0.7,35.0
2009-09-01,3.2,1.5,35.0
2009-10-01,6.4,1.0,36.0
2009-11-02,6.1,0.0,33.0
2009-12-01,3.7,-1.0,37.0
2010-01-05,-16.0,-2.0,35.0
2010-02-02,1.0,1.0,35.0
2010-03-04,-7.6,1.0,39.0
2010-04-05,8.2,0.0,32.0
2010-05-04,5.3,5.0,38.0
2010-06-02,6.0,5.0,39.0
2010-07-01,-30.0,-14.3,35.0
2010-08-03,-2.6,4.0,36.0
2010-09-02,5.2,-1.0,37.0
2010-10-04,4.3,2.5,38.0
2010-11-05,-1.8,3.0,40.0
2010-12-02,10.4,-1.0,40.0
2010-12-30,3.5,0.75,24.0
2011-01-27,2.0,1.0,41.0
2011-02-28,-2.8,-2.3,39.0
2011-03-28,2.1,0.0,33.0
2011-04-28,5.1,1.5,32.0
2011-05-27,-11.6,-1.0,39.0
2011-06-29,8.2,3.0,36.0
2011-07-28,2.4,-2.0,39.0
2011-08-29,-1.3,-1.0,40.0
2011-09-29,-1.2,-2.0,43.0
2011-10-27,-4.6,0.35,38.0
2011-11-30,10.4,2.0,37.0
2011-12-29,7.3,1.5,30.0
2012-01-25,-3.5,-1.0,40.0
2012-02-27,2.0,1.0,44.0
2012-03-26,-0.5,1.0,41.0
2012-04-26,4.1,1.0,43.0
2012-05-30,-5.5,0.0,42.0
2012-06-27,5.9,1.5,39.0
2012-07-26,-1.4,0.3,34.0
2012-08-29,2.4,1.0,39.0
2012-09-27,-2.6,0.25,40.0
2012-10-25,0.3,2.5,33.0
2012-11-29,5.2,1.0,36.0
2012-12-28,1.7,1.0,35.0
2013-01-28,-4.3,0.0,37.0
2013-02-27,4.5,1.85,38.0
2013-03-27,-0.4,-0.3,37.0
2013-04-29,1.5,1.0,34.0
2013-05-30,0.3,1.5,42.0
2013-06-27,6.7,1.0,43.0
2013-07-29,-0.4,-1.0,40.0
2013-08-28,-1.3,0.0,38.0
2013-09-26,-1.6,-1.0,39.0
2013-10-28,-5.6,0.0,39.0
2013-11-25,-0.6,1.0,39.0
2013-12-30,0.2,1.0,30.0
2014-01-30,-8.7,-0.3,38.0
2014-02-28,0.1,1.8,41.0
2014-03-27,-0.8,0.2,39.0
2014-04-28,3.4,1.0,35.0
2014-05-29,0.4,1.0,36.0
2014-06-30,6.1,1.5,37.0
2014-07-28,-1.1,0.5,39.0
2014-08-28,3.3,0.5,37.0
2014-09-29,-1.0,-0.5,35.0
2014-10-27,0.3,1.0,41.0
2014-11-26,-1.1,0.5,37.0
2014-12-31,0.8,0.5,31.0
2015-01-29,-3.7,0.5,42.0
2015-02-27,1.7,2.0,38.0
2015-03-30,3.1,0.3,35.0
2015-04-29,1.1,1.0,37.0
2015-05-28,3.4,0.9,39.0
2015-06-29,0.9,1.0,41.0
2015-07-29,-1.8,0.9,37.0
2015-08-27,0.5,1.0,40.0
2015-09-28,-1.4,0.4,37.0
2015-10-29,-2.3,1.0,35.0
2015-11-30,0.2,1.0,32.0
2015-12-30,-0.9,0.7,28.0
2016-01-28,0.1,0.85,38.0
2016-02-29,-2.5,0.5,33.0
2016-03-28,3.5,1.2,29.0
2016-04-27,1.4,0.5,36.0
2016-05-26,5.1,0.7,37.0
2016-06-29,-3.7,-1.1,33.0
2016-07-27,0.2,1.2,30.0
2016-08-31,1.3,0.7,33.0
2016-09-29,-2.4,0.0,32.0
2016-10-27,1.5,1.0,35.0
2016-11-30,0.1,0.05,28.0
2016-12-28,-2.5,0.5,28.0
2017-01-30,1.6,1.0,27.0
2017-02-27,-2.8,0.55,28.0
2017-03-29,5.5,2.45,30.0
2017-04-27,-0.8,-1.0,28.0
2017-05-31,-1.3,0.5,25.0
2017-06-28,-0.8,1.0,27.0
2017-07-31,1.5,1.0,25.0
2017-08-31,-0.8,0.3,27.0
2017-09-27,-2.6,-0.5,27.0
2017-10-26,0.0,0.5,27.0
2017-11-29,3.5,1.0,27.0
2017-12-27,0.2,-0.39,20.0
2018-01-31,0.5,0.5,24.0
2018-02-28,-4.7,0.5,23.0
2018-03-28,3.1,2.0,24.0
2018-04-30,0.4,0.7,21.0
2018-05-31,-1.3,0.4,24.0
2018-06-27,-0.5,0.5,24.0
2018-07-30,0.9,0.05,26.0
2018-08-29,-0.7,0.25,18.0
2018-09-27,-1.8,-0.5,25.0
2018-10-25,0.5,0.0,25.0
2018-11-29,-2.6,0.5,23.0
2018-12-28,-0.7,1.0,17.0
2019-01-30,-2.2,0.5,23.0
2019-02-27,4.6,1.0,20.0
2019-03-28,-1.0,-0.5,26.0
2019-04-30,3.8,1.45,24.0
2019-05-30,-1.5,0.5,21.0
2019-06-27,1.1,1.0,22.0
2019-07-30,2.8,0.5,21.0
2019-08-29,-2.5,0.0,23.0
2019-09-26,1.6,1.0,26.0
2019-10-29,1.5,0.9,20.0
2019-11-27,-1.7,0.2,25.0
2019-12-30,1.2,1.4,20.0
2020-01-29,-4.9,0.5,28.0
2020-02-27,5.2,3.0,30.0
2020-03-30,2.4,-1.7,27.0
2020-04-29,-20.8,-14.3,28.0
2020-05-28,-21.8,-17.25,28.0
2020-06-29,44.3,19.25,28.0
2020-07-29,16.6,15.0,29.0
2020-08-27,5.9,1.95,28.0
2020-09-30,8.8,3.1,28.0
2020-10-29,-2.2,2.7,29.0
2020-11-30,-1.1,1.0,21.0
2020-12-30,-2.6,0.0,22.0
2021-01-29,-0.3,-0.5,28.0
2021-02-25,-2.8,0.0,24.0
2021-03-31,-10.6,-3.0,25.0
2021-04-29,1.9,4.4,29.0
2021-05-27,-4.4,0.4,27.0
2021-06-30,8.0,-1.0,24.0
2021-07-29,-1.9,0.0,28.0
2021-08-30,-1.8,0.3,26.0
2021-09-29,8.1,1.4,29.0
2021-10-28,-2.3,0.45,30.0
2021-11-29,7.5,1.0,21.0
2021-12-29,-2.2,0.8,13.0
2022-01-27,-3.8,-0.4,24.0
2022-02-25,-5.7,0.2,18.0
2022-03-25,-4.1,1.0,25.0
2022-04-27,-1.2,-1.0,23.0
2022-05-26,-3.9,-2.1,26.0
2022-06-27,0.7,-4.0,20.0
2022-07-27,-8.6,-1.0,24.0
2022-08-24,-1.0,-2.55,24.0
