dates,actual_value,expected_value,number_of_forecaster
1997-02-07,5.4,5.3,0.0
1997-03-07,5.3,5.3,0.0
1997-04-04,5.2,5.2,0.0
1997-05-02,4.9,5.2,0.0
1997-06-06,4.8,5.0,0.0
1997-07-03,5.0,4.8,0.0
1997-08-01,4.8,5.0,0.0
1997-09-05,4.9,4.8,0.0
1997-10-03,4.9,4.8,0.0
1997-11-07,4.7,4.8,0.0
1997-12-05,4.6,4.8,0.0
1998-01-09,4.7,4.6,0.0
1998-02-06,4.7,4.7,0.0
1998-03-06,4.6,4.6,0.0
1998-04-03,4.7,4.6,0.0
1998-05-08,4.3,4.6,0.0
1998-07-02,4.5,4.3,45.0
1998-08-07,4.5,4.5,53.0
1998-09-04,4.5,4.4,34.0
1998-10-02,4.6,4.5,35.0
1998-11-05,4.6,4.6,33.0
1998-12-04,4.4,4.6,37.0
1999-01-08,4.3,4.5,33.0
1999-02-05,4.3,4.4,35.0
1999-03-05,4.4,4.3,36.0
1999-04-02,4.2,4.4,43.0
1999-05-07,4.3,4.2,40.0
1999-06-04,4.2,4.3,38.0
1999-07-02,4.3,4.2,50.0
1999-08-06,4.3,4.2,44.0
1999-09-03,4.2,4.2,43.0
1999-10-08,4.2,4.2,49.0
1999-11-05,4.1,4.2,43.0
1999-12-03,4.1,4.1,43.0
2000-01-07,4.1,4.1,42.0
2000-02-04,4.0,4.0,41.0
2000-03-03,4.1,4.0,42.0
2000-04-07,4.1,4.0,41.0
2000-05-05,3.9,4.0,45.0
2000-06-02,4.1,3.9,48.0
2000-07-07,4.0,4.0,46.0
2000-08-04,4.0,4.0,49.0
2000-09-01,4.1,4.0,44.0
2000-10-06,3.9,4.1,45.0
2000-11-03,3.9,4.0,45.0
2000-12-08,4.0,4.0,49.0
2001-01-05,4.0,4.1,44.0
2001-02-02,4.2,4.1,46.0
2001-03-09,4.2,4.2,49.0
2001-04-06,4.3,4.3,49.0
2001-05-04,4.5,4.4,48.0
2001-06-01,4.4,4.6,49.0
2001-07-06,4.5,4.6,48.0
2001-08-03,4.5,4.7,51.0
2001-09-07,4.9,4.6,46.0
2001-10-05,4.9,5.0,49.0
2001-11-02,5.4,5.2,52.0
2001-12-07,5.7,5.6,51.0
2002-01-04,5.8,5.8,47.0
2002-02-01,5.6,5.9,56.0
2002-03-08,5.5,5.8,65.0
2002-04-05,5.7,5.6,58.0
2002-05-03,6.0,5.8,60.0
2002-06-07,5.8,6.1,63.0
2002-07-05,5.9,5.9,56.0
2002-08-02,5.9,5.9,58.0
2002-09-06,5.7,6.0,60.0
2002-10-04,5.6,5.9,60.0
2002-11-01,5.7,5.8,63.0
2002-12-06,6.0,5.8,60.0
2003-01-10,6.0,6.0,58.0
2003-02-07,5.7,6.0,65.0
2003-03-07,5.8,5.8,65.0
2003-04-04,5.8,5.9,67.0
2003-05-02,6.0,5.9,68.0
2003-06-06,6.1,6.1,67.0
2003-07-03,6.4,6.2,69.0
2003-08-01,6.2,6.3,69.0
2003-09-05,6.1,6.2,65.0
2003-10-03,6.1,6.2,69.0
2003-11-07,6.0,6.1,69.0
2003-12-05,5.9,6.0,68.0
2004-01-09,5.7,5.9,60.0
2004-02-06,5.6,5.7,68.0
2004-03-05,5.6,5.6,64.0
2004-04-02,5.7,5.6,69.0
2004-05-07,5.6,5.7,71.0
2004-06-04,5.6,5.6,71.0
2004-07-02,5.6,5.6,72.0
2004-08-06,5.5,5.6,73.0
2004-09-03,5.4,5.5,74.0
2004-10-08,5.4,5.4,72.0
2004-11-05,5.5,5.4,75.0
2004-12-03,5.4,5.4,71.0
2005-01-07,5.4,5.4,73.0
2005-02-04,5.2,5.4,76.0
2005-03-04,5.4,5.2,67.0
2005-04-01,5.2,5.3,75.0
2005-05-06,5.2,5.2,79.0
2005-06-03,5.1,5.2,73.0
2005-07-08,5.0,5.1,72.0
2005-08-05,5.0,5.0,73.0
2005-09-02,4.9,5.0,67.0
2005-10-07,5.1,5.0,68.0
2005-11-04,5.0,5.1,71.0
2005-12-02,5.0,5.0,67.0
2006-01-06,4.9,5.0,60.0
2006-02-03,4.7,4.9,71.0
2006-03-10,4.8,4.7,72.0
2006-04-07,4.7,4.8,73.0
2006-05-05,4.7,4.7,71.0
2006-06-02,4.6,4.7,79.0
2006-07-07,4.6,4.6,76.0
2006-08-04,4.8,4.6,73.0
2006-09-01,4.7,4.7,75.0
2006-10-06,4.6,4.7,73.0
2006-11-03,4.4,4.6,72.0
2006-12-08,4.5,4.5,74.0
2007-01-05,4.5,4.5,68.0
2007-02-02,4.6,4.5,75.0
