dates,ES1 Index,PT1 Index,CADUSD Curncy,DXY Curncy
01/01/1980,,,0.8559,85.82
01/02/1980,,,0.8578,85.32
01/03/1980,,,0.8545,85.26
01/04/1980,,,0.8557,85.23
01/07/1980,,,0.8551,84.79
01/08/1980,,,0.8548,85.07
01/09/1980,,,0.8557,85.02
01/10/1980,,,0.8584,85.21
01/11/1980,,,0.8584,85.35
01/14/1980,,,0.8574,85.23
01/15/1980,,,0.8578,85.64
01/16/1980,,,0.8588,85.4
01/17/1980,,,0.8611,85.52
01/18/1980,,,0.8608,85.45
01/21/1980,,,0.8613,85.7
01/22/1980,,,0.8628,85.8
01/23/1980,,,0.8618,85.56
01/24/1980,,,0.8644,85.71
01/25/1980,,,0.8614,85.94
01/28/1980,,,0.8593,86.1
01/29/1980,,,0.8593,86.02
01/30/1980,,,0.8608,85.96
01/31/1980,,,0.8632,86.14
02/01/1980,,,0.8651,86.13
02/04/1980,,,0.863,86.05
02/05/1980,,,0.8607,86.02
02/06/1980,,,0.8623,85.62
02/07/1980,,,0.863,85.8
02/08/1980,,,0.8628,85.94
02/11/1980,,,0.8629,85.85
02/12/1980,,,0.8629,85.85
02/13/1980,,,0.861,85.77
02/14/1980,,,0.8622,85.84
02/15/1980,,,0.8605,86.1
02/18/1980,,,0.8605,86.1
02/19/1980,,,0.8623,86.51
02/20/1980,,,0.8657,86.48
02/21/1980,,,0.8687,86.41
02/22/1980,,,0.8674,86.92
02/25/1980,,,0.8687,87.05
02/26/1980,,,0.8693,87.08
02/27/1980,,,0.8727,86.9
02/28/1980,,,0.8723,87.01
02/29/1980,,,0.8734,87.65
03/03/1980,,,0.8749,87.85
03/04/1980,,,0.8674,88.08
03/05/1980,,,0.8716,87.99
03/06/1980,,,0.8671,88.32
03/07/1980,,,0.8639,88.41
03/10/1980,,,0.8593,88.89
03/11/1980,,,0.8584,88.93
03/12/1980,,,0.8567,88.8
03/13/1980,,,0.8551,89.27
03/14/1980,,,0.8485,89.82
03/17/1980,,,0.8441,91.27
03/18/1980,,,0.8475,91.35
03/19/1980,,,0.8495,91.09
03/20/1980,,,0.8482,90.84
03/21/1980,,,0.8454,91.26
03/24/1980,,,0.8428,91.61
03/25/1980,,,0.8377,91.84
03/26/1980,,,0.8416,91.75
03/27/1980,,,0.8421,92.49
03/28/1980,,,0.8426,92.83
03/31/1980,,,0.8393,93.58
04/01/1980,,,0.8353,94.22
04/02/1980,,,0.8401,94.07
04/03/1980,,,0.8382,94.37
04/04/1980,,,0.8386,94.67
04/07/1980,,,0.8416,94.88
04/08/1980,,,0.8443,93.46
04/09/1980,,,0.8461,91.63
04/10/1980,,,0.8466,91.07
04/11/1980,,,0.8478,91.26
04/14/1980,,,0.8457,91.02
04/15/1980,,,0.8421,91.81
04/16/1980,,,0.8425,90.57
04/17/1980,,,0.8437,90.51
04/18/1980,,,0.8442,90.5
04/21/1980,,,0.8459,90.15
04/22/1980,,,0.8446,90.55
04/23/1980,,,0.8469,88.87
04/24/1980,,,0.8461,88.83
04/25/1980,,,0.8435,88.68
04/28/1980,,,0.8423,88.04
04/29/1980,,,0.8407,88.01
04/30/1980,,,0.8417,88.11
05/01/1980,,,0.8407,88.22
05/02/1980,,,0.838,88.9
05/05/1980,,,0.8403,87.84
05/06/1980,,,0.8421,87.41
05/07/1980,,,0.8445,87.21
05/08/1980,,,0.8482,87.5
05/09/1980,,,0.8462,88.01
05/12/1980,,,0.8484,87.08
05/13/1980,,,0.8505,87.23
05/14/1980,,,0.8511,86.92
05/15/1980,,,0.8493,86.97
05/16/1980,,,0.8514,87.24
05/19/1980,,,0.8507,87.39
05/20/1980,,,0.8517,87.24
05/21/1980,,,0.8624,86.38
05/22/1980,,,0.8614,86.37
05/23/1980,,,0.862,85.78
05/26/1980,,,0.862,85.78
